Label,Httpchk,Rank,domain_registration_length,age_domain,ssl,Having_IP,URL_Length,urlpath_length,Host_Length,Tokens,No_of_specialchar,No_of_slash,No_of_hyphen,Dots_in_url,Security_sensitive,getASN,tiny_url,Redirection_//_symbol,i_frame,links_in_tags,url_of_anchor
1,0,-1,-1,-1,1,0,0,6,29,6,7,0,2,0,1,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,1,17,3,5,0,0,0,0,-1,0,0,-1,-1,-1
1,0,-1,-1,-1,1,0,1,19,41,7,11,0,0,1,0,26333,0,0,-1,-1,-1
1,1,-1,-1,-1,0,0,0,10,15,7,12,0,0,1,1,-1,0,0,0,8,36
1,1,-1,-1,-1,1,0,1,41,12,9,14,1,0,1,0,18779,0,0,-1,-1,-1
1,1,-1,1,0,0,0,0,1,21,3,5,0,0,0,0,-1,0,0,0,0,2
1,0,-1,-1,-1,1,0,0,10,20,6,7,0,1,0,1,12876,0,0,-1,-1,-1
1,0,-1,1,0,1,0,1,16,13,8,13,0,0,1,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,0,8,7,4,5,0,0,0,0,4766,0,0,0,0,0
1,0,0,-1,-1,-1,0,1,22,37,18,23,0,2,0,1,702,0,0,0,0,4
1,1,-1,-1,-1,0,0,1,30,27,10,11,0,0,0,0,-1,0,0,0,0,0
1,1,-1,-1,-1,1,0,0,15,23,7,9,0,1,0,0,-1,1,0,-1,-1,-1
1,0,-1,-1,-1,-1,0,1,57,18,12,14,1,0,0,3,3,0,0,0,0,0
1,1,-1,-1,-1,-1,0,0,25,12,6,8,0,0,0,0,16265,0,0,0,7,8
1,1,-1,-1,-1,1,0,0,14,20,7,9,0,1,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,-1,0,1,52,20,8,10,0,0,0,0,-1,0,0,0,52,14
1,1,-1,-1,-1,-1,0,0,16,23,9,10,0,1,1,0,27823,0,0,0,0,0
1,1,-1,1,0,1,0,0,1,21,3,5,0,0,0,0,-1,0,0,-1,-1,-1
1,1,-1,-1,-1,1,0,0,5,25,4,5,0,0,0,0,-1,0,0,-1,-1,-1
