Label,Httpchk,Rank,domain_registration_length,age_domain,ssl,Having_IP,URL_Length,urlpath_length,Host_Length,Tokens,No_of_specialchar,No_of_slash,No_of_hyphen,Dots_in_url,Security_sensitive,getASN,tiny_url,Redirection_//_symbol,i_frame,links_in_tags,url_of_anchor
0,0,0,0,-1,0,0,0,0,14,4,5,0,0,0,0,15169,0,0,0,0,16
0,0,0,1,-1,0,0,0,0,15,4,5,0,0,0,0,15169,0,0,0,23,7
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,-1,0,0,0,1,48
0,0,0,0,-1,1,0,0,0,13,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,0,0,0,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,2,314
0,0,0,1,-1,0,0,0,0,14,4,5,0,0,0,0,-1,1,0,0,2,56
0,0,0,0,-1,0,0,0,0,13,4,5,0,0,0,0,10228,0,0,0,2,69
0,0,0,-1,-1,0,0,0,0,16,5,6,0,0,0,0,15169,0,0,0,0,12
0,0,0,0,-1,-1,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,0,3
0,0,0,-1,-1,1,0,0,0,14,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,15,4,5,0,0,0,0,-1,0,0,0,56,6
0,0,0,0,-1,0,0,0,6,15,5,6,0,0,0,0,15169,0,0,0,0,4
0,0,0,-1,-1,0,0,0,0,12,4,5,0,0,0,0,8075,0,0,0,0,30
0,0,0,-1,-1,-1,0,0,0,17,4,5,0,0,0,0,-1,0,0,0,1,10
0,0,0,1,-1,0,0,0,0,12,4,5,0,0,0,0,-1,0,0,0,1,231
0,0,0,-1,-1,1,0,0,0,15,5,6,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,1,0,0,0,13,4,5,0,0,0,0,55355,0,0,-1,-1,-1
0,0,0,1,-1,0,0,0,0,15,4,5,0,0,0,0,-1,1,0,0,0,16
0,0,0,-1,-1,0,0,0,0,13,4,5,0,0,0,0,13238,0,0,0,1,57
0,0,0,-1,-1,1,0,0,0,18,5,6,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,0,-1,0,0,0,0,16,4,5,0,0,0,0,-1,0,0,0,4,14
0,0,0,0,-1,0,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,2,0
0,0,0,1,-1,0,0,0,0,12,4,5,0,0,0,0,31377,0,0,0,7,119
0,0,0,0,-1,0,0,0,0,17,4,5,0,0,0,0,-1,1,0,0,10,42
0,0,0,1,-1,0,0,0,0,12,4,5,0,0,0,0,8075,0,0,0,1,48
0,0,0,0,-1,0,0,0,0,12,4,5,0,0,0,0,-1,0,0,0,0,133
0,0,0,-1,-1,0,0,0,0,18,4,5,0,0,0,0,9498,0,0,0,4,22
0,0,0,-1,-1,0,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,0,267
0,0,0,0,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,0,334
0,0,0,-1,-1,0,0,0,0,11,4,5,0,0,0,1,47764,0,0,0,2,191
0,0,0,1,0,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,0,149
0,0,0,-1,-1,0,0,0,0,12,4,5,0,0,0,0,-1,0,0,0,1,381
0,0,0,0,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,0,23
0,0,0,0,-1,0,0,0,0,11,4,5,0,0,0,0,8075,0,0,0,1,116
0,0,0,1,-1,0,0,0,0,17,4,5,0,0,0,0,2635,0,0,0,23,109
0,0,0,1,-1,1,0,0,0,23,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,-1,0,0,0,63,15
0,0,0,0,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,5,119
0,0,0,-1,-1,0,0,0,0,13,4,5,0,0,0,0,-1,0,0,0,143,136
0,0,0,1,0,1,0,0,0,18,4,5,0,0,0,0,50144,0,0,-1,-1,-1
0,0,0,-1,-1,-1,0,0,0,16,5,6,0,0,0,0,-1,0,0,0,0,0
0,0,0,-1,-1,0,0,0,0,16,4,5,0,0,0,0,15169,1,0,0,16,16
0,0,1,-1,-1,1,0,0,0,15,4,5,0,0,0,0,-1,0,0,-1,-1,-1
0,0,0,-1,-1,0,0,0,0,14,4,5,0,0,0,0,-1,0,0,0,5,13
0,0,0,1,-1,0,0,0,0,14,4,5,0,0,0,1,-1,0,0,0,1,9
